id,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
7524042,6,1.0,1.0,6.0,38.0,0.0,0.0,1,1125,2
5990979,9,3.0,2.5,5.0,480.0,0.0,200.0,3,1125,5
1086168,6,2.0,2.0,3.0,372.0,0.0,80.0,3,1125,33
6688513,3,1.0,1.0,2.0,125.0,0.0,60.0,1,30,11
3890477,2,1.0,1.0,1.0,89.0,200.0,30.0,1,1125,3
6262632,1,1.0,1.0,1.0,80.0,0.0,0.0,1,1125,5
1519460,5,0.0,1.0,3.0,90.0,0.0,100.0,3,999,29
5173258,3,0.0,1.0,2.0,110.0,0.0,35.0,2,1125,32
3985441,3,2.0,1.0,3.0,100.0,0.0,40.0,3,1125,1
5089898,4,2.0,2.0,2.0,250.0,250.0,75.0,1,100,15
7150515,1,1.0,1.0,1.0,55.0,150.0,75.0,1,1125,0
7132107,3,1.0,1.0,2.0,55.0,150.0,75.0,1,1125,5
813573,2,1.0,1.0,1.0,400.0,200.0,0.0,2,4,0
8473096,1,1.0,1.0,1.0,35.0,0.0,25.0,1,1125,0
2117627,4,2.0,2.0,2.0,160.0,200.0,30.0,2,8,5
7254795,4,2.0,2.5,2.0,130.0,300.0,60.0,2,1125,1
8567059,1,1.0,1.0,1.0,50.0,0.0,0.0,1,1125,0
5912004,2,1.0,1.0,1.0,150.0,0.0,0.0,1,1125,0
2940776,2,1.0,1.5,1.0,40.0,0.0,0.0,1,1125,9
8519673,2,1.0,1.0,1.0,45.0,0.0,0.0,1,1125,0
8552222,2,1.0,2.5,1.0,55.0,300.0,25.0,2,1125,0
4694155,2,1.0,1.0,1.0,200.0,0.0,0.0,1,1125,1
4286181,2,1.0,1.0,1.0,65.0,0.0,0.0,1,1125,4
2523708,4,1.0,1.5,1.0,94.0,95.0,15.0,1,31,18
861775,1,1.0,1.0,1.0,65.0,0.0,0.0,1,1125,2
2517969,5,1.0,1.5,1.0,64.0,95.0,15.0,1,90,115
7368860,2,1.0,1.0,1.0,59.0,0.0,0.0,1,1125,18
403647,1,1.0,0.0,0.0,125.0,0.0,0.0,1,1125,0
1875603,3,1.0,1.5,1.0,74.0,95.0,15.0,1,90,33
6133697,3,1.0,1.0,1.0,69.0,0.0,10.0,1,1125,8
8523150,1,1.0,1.0,1.0,49.0,0.0,35.0,1,1125,1
8172001,2,1.0,1.0,1.0,60.0,100.0,0.0,1,365,0
7582828,2,1.0,1.0,1.0,69.0,0.0,10.0,1,1125,19
5375538,4,1.0,1.0,2.0,157.0,0.0,65.0,2,1125,3
6564932,3,1.0,1.0,1.0,128.0,0.0,40.0,1,1125,9
