id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
2117627,2117627,1,,,4,2.0,2.0,2.0,$160.00 ,$200.00 ,$30.00 ,2,8,5,"Congress Heights, Bellevue, Washington Highlands",38.82722274,-77.00919578
7254795,7254795,2,100%,100%,4,2.0,2.5,2.0,$130.00 ,$300.00 ,$60.00 ,2,1125,1,"Congress Heights, Bellevue, Washington Highlands",38.82871929,-77.00783414
8567059,8567059,1,100%,100%,1,1.0,1.0,1.0,$50.00 ,,,1,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.82636204,-76.99786671
5912004,5912004,1,50%,,2,1.0,1.0,1.0,$150.00 ,,,1,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.83454145,-77.00560653
2940776,2940776,1,80%,67%,2,1.0,1.5,1.0,$40.00 ,,,1,1125,9,"Congress Heights, Bellevue, Washington Highlands",38.84306384,-76.99158707
8519673,8519673,5,100%,100%,2,1.0,1.0,1.0,$45.00 ,,,1,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.8468335,-76.99945653
8552222,8552222,2,100%,100%,2,1.0,2.5,1.0,$55.00 ,$300.00 ,$25.00 ,2,1125,0,"Congress Heights, Bellevue, Washington Highlands",38.82775661,-77.00832679999999
4694155,4694155,1,,,2,1.0,1.0,1.0,$200.00 ,,,1,1125,1,"Congress Heights, Bellevue, Washington Highlands",38.82506052,-76.99874059999999
4286181,4286181,2,100%,88%,2,1.0,1.0,1.0,$65.00 ,,,1,1125,4,"Douglas, Shipley Terrace",38.85081344,-76.98011142
2523708,2523708,4,100%,100%,4,1.0,1.5,1.0,$94.00 ,$95.00 ,$15.00 ,1,31,18,"Douglas, Shipley Terrace",38.84081712,-76.97797504
861775,861775,2,100%,88%,1,1.0,1.0,1.0,$65.00 ,,,1,1125,2,"Douglas, Shipley Terrace",38.84872746,-76.97871483
2517969,2517969,4,100%,100%,5,1.0,1.5,1.0,$64.00 ,$95.00 ,$15.00 ,1,90,115,"Douglas, Shipley Terrace",38.842150399999994,-76.97633323
7368860,7368860,1,100%,100%,2,1.0,1.0,1.0,$59.00 ,,,1,1125,18,"Douglas, Shipley Terrace",38.84981227,-76.98289296
403647,403647,1,,,1,1.0,,,$125.00 ,,,1,1125,0,"Douglas, Shipley Terrace",38.84921846,-76.97884192
1875603,1875603,4,100%,100%,3,1.0,1.5,1.0,$74.00 ,$95.00 ,$15.00 ,1,90,33,"Douglas, Shipley Terrace",38.8422292,-76.97641703
6133697,6133697,2,100%,100%,3,1.0,1.0,1.0,$69.00 ,,$10.00 ,1,1125,8,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85328293,-76.96826673
8523150,8523150,5,100%,100%,1,1.0,1.0,1.0,$49.00 ,,$35.00 ,1,1125,1,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.857608899999995,-76.97440904
8172001,8172001,1,,,2,1.0,1.0,1.0,$60.00 ,$100.00 ,,1,365,0,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85908304,-76.9694999
7582828,7582828,2,100%,100%,2,1.0,1.0,1.0,$69.00 ,,$10.00 ,1,1125,19,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85137656,-76.97083697
5375538,5375538,1,100%,100%,4,1.0,1.0,2.0,$157.00 ,,$65.00 ,2,1125,3,"Near Southeast, Navy Yard",38.87721086,-77.00368744
6564932,6564932,1,100%,94%,3,1.0,1.0,1.0,$128.00 ,,$40.00 ,1,1125,9,"Near Southeast, Navy Yard",38.87995989,-77.00649063
3504621,3504621,1,100%,100%,2,1.0,1.0,1.0,$135.00 ,$150.00 ,$95.00 ,6,1125,6,"Near Southeast, Navy Yard",38.87709829999999,-77.00458358
2237591,2237591,1,80%,80%,2,1.0,1.0,1.0,$90.00 ,,,2,1125,6,"Near Southeast, Navy Yard",38.87961619,-77.00434209
4468217,4468217,1,50%,80%,2,1.0,1.0,1.0,$102.00 ,$100.00 ,$49.00 ,5,31,6,"Near Southeast, Navy Yard",38.87834062,-77.00073849
8089814,8089814,1,100%,100%,3,1.0,1.0,1.0,$99.00 ,$100.00 ,$50.00 ,1,19,0,"Near Southeast, Navy Yard",38.87837493,-77.00800168
5759630,5759630,1,,,2,1.0,1.0,1.0,$195.00 ,,,1,1125,1,"Near Southeast, Navy Yard",38.87653674,-77.00623635
321642,321642,1,100%,100%,4,1.0,1.0,2.0,$160.00 ,$200.00 ,$50.00 ,1,1125,59,"Near Southeast, Navy Yard",38.88032417,-77.00196170000001
7219322,7219322,2,100%,89%,2,1.0,1.0,1.0,$95.00 ,,$100.00 ,1,1125,1,"Near Southeast, Navy Yard",38.88008663,-77.00731287
7973221,7973221,1,33%,100%,2,1.0,1.0,1.0,$120.00 ,,,1,1125,0,"Near Southeast, Navy Yard",38.87861844,-77.00598247
8191407,8191407,2,100%,63%,6,2.0,2.0,3.0,$249.00 ,,$59.00 ,2,180,0,"Near Southeast, Navy Yard",38.87584046,-76.99908601
7860122,7860122,1,100%,100%,2,1.0,1.0,1.0,$88.00 ,$200.00 ,$35.00 ,3,1125,1,"Near Southeast, Navy Yard",38.88045027,-77.00651487
7973954,7973954,1,100%,100%,2,1.0,1.0,1.0,$90.00 ,$95.00 ,$10.00 ,1,1125,2,"Near Southeast, Navy Yard",38.87869082,-77.00537827
8503615,8503615,1,90%,100%,2,,1.0,1.0,$150.00 ,,,1,1125,0,"Near Southeast, Navy Yard",38.87744971,-77.00571269
8606829,8606829,3,90%,93%,2,1.0,1.0,1.0,$125.00 ,,,1,1125,0,"Near Southeast, Navy Yard",38.87491191,-77.00884499
374043,374043,1,90%,93%,2,1.0,1.0,1.0,$85.00 ,,$20.00 ,3,14,145,"Near Southeast, Navy Yard",38.87923329,-76.99764143
4251323,4251323,1,,,3,1.0,1.0,2.0,$400.00 ,,,1,1125,0,"Near Southeast, Navy Yard",38.88045961,-77.0080082
